,time_of_experiment,scanner_status,advertiser_status,RSSI,distance
0,2020-07-17 19:14:42.080077,3,3,-60,4
0,2020-07-17 19:14:44.085039,3,3,-67,4
0,2020-07-17 19:14:46.090109,3,3,-64,4
0,2020-07-17 19:14:48.095073,3,3,-65,4
0,2020-07-17 19:14:50.100107,3,3,-66,4
0,2020-07-17 19:14:52.001362,3,3,-65,4
0,2020-07-17 19:14:54.006416,3,3,-65,4
0,2020-07-17 19:14:56.011386,3,3,-65,4
0,2020-07-17 19:14:58.016388,3,3,-66,4
0,2020-07-17 19:15:00.021525,3,3,-65,4
0,2020-07-17 19:15:02.026456,3,3,-65,4
0,2020-07-17 19:15:04.031473,3,3,-66,4
0,2020-07-17 19:15:06.035939,3,3,-61,4
0,2020-07-17 19:15:08.041613,3,3,-61,4
0,2020-07-17 19:15:09.667785,3,3,-66,4
0,2020-07-17 19:15:11.672793,3,3,-65,4
0,2020-07-17 19:15:13.677811,3,3,-66,4
0,2020-07-17 19:15:15.682858,3,3,-61,4
0,2020-07-17 19:15:17.201566,3,3,-65,4
0,2020-07-17 19:15:19.206591,3,3,-65,4
0,2020-07-17 19:15:21.211693,3,3,-66,4
0,2020-07-17 19:15:23.216632,3,3,-65,4
0,2020-07-17 19:15:25.221688,3,3,-61,4
0,2020-07-17 19:15:27.226715,3,3,-67,4
